Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cambodia,KHM,30.2017,30.6087,29.0481,29.8222,30.2629,28.5823,28.7919,30.0336,28.8535,28.7436,30.3602,29.5751,30.2229,29.8592,29.6693,29.1707,29.1309,29.3158,29.1011,30.0406,28.6528,29.122,29.6626,29.6412,29.9487
Cameroon,CMR,26.7186,26.8117,26.7953,26.702,26.642,27.097,26.0694,27.8354,27.7291,26.8223,26.9483,26.8277,27.1914,27.3653,27.844,26.8642,27.0766,26.6542,27.446,28.1041,27.0834,27.899,27.7543,27.3453,27.6386
Canada,CAN,11.668,10.2082,11.6082,12.2702,11.2944,11.8569,12.0187,12.9388,11.1929,12.1447,12.1651,11.6666,12.1669,11.4303,11.3858,12.0309,12.6791,11.8675,11.4527,12.248,12.0338,13.0213,11.2593,12.3207,11.6098
"Cape Verde, Republic of",CPV,25.6894,25.5773,25.6848,25.428,25.7552,25.5411,25.8373,25.7715,25.7082,25.8118,25.9065,25.8961,25.9496,25.8961,25.7752,25.8373,25.7402,25.8193,25.8365,25.8395,25.9195,25.8806,25.8395,25.9827,25.873
Cayman Islands,CYM,29.2,29.2999,29.2999,29.2,29.4,28.6,29.4,29.7999,28.9,29.4,29.4,29.2999,29.5,29.4,29.4,29.7999,29.7999,29.1,29.0,29.2,29.2,29.1,28.7999,29.6,29.7
Central African Republic,CAF,27.4163,27.5285,27.8438,27.3121,26.7604,26.9732,28.0517,28.6029,27.1359,27.6053,28.2059,27.7979,27.9855,28.443,28.6966,28.2421,28.2663,28.1466,27.9848,29.0928,28.2044,28.301,28.2829,28.1697,28.2095
Chad,TCD,31.6189,31.1572,31.1638,32.0251,32.1656,32.4552,31.6889,33.0722,31.5526,31.6803,31.932,31.7269,31.5702,33.281,31.8161,32.4767,32.8911,32.2765,32.5527,33.2945,32.3283,32.5954,32.9857,32.6035,32.5959
Chile,CHL,12.5839,13.4852,12.5885,13.0856,12.794,11.9115,12.6841,13.1309,12.8652,12.4928,12.4925,12.4923,12.5587,13.3019,13.3756,12.9977,12.8539,13.4271,13.0494,12.5842,12.7518,13.6039,13.8484,12.5419,13.0553
China,CHN,19.7263,18.9732,18.8958,20.1674,19.3969,19.3268,19.972,19.947,19.9978,20.5313,20.515,20.0729,19.3901,19.7254,20.2678,20.2666,19.8753,20.0407,19.872,20.6067,20.1304,20.1783,20.1251,19.8652,19.8109
Christmas Island,CXR,26.9,26.7999,26.6,26.5,26.5,27.0,26.7999,27.6,26.9,26.6,26.4,27.2,27.1,27.2999,27.1,27.1,26.5,26.5,26.6,26.7999,26.5,26.6,26.9,26.9,26.7999
