Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Comoros,COM,23.3166,22.8379,22.6784,23.1578,23.5854,23.2379,23.2586,23.7582,23.233,23.3039,24.0519,23.5686,23.2788,23.437,23.9788,23.4793,23.3788,23.3784,23.5852,23.7251,23.447,23.3247,23.1107,23.9996,24.5973
"Congo, Rep.",COG,23.1342,22.6062,23.1753,23.0851,23.6416,23.268,23.1036,23.7101,23.2136,23.1253,23.5294,23.9382,23.6801,23.8281,23.556,23.7511,23.8419,23.4592,23.6829,23.8559,23.7578,23.4931,23.2139,23.4168,23.991
"Congo, Dem. Rep.",ZAR,22.9457,22.8036,21.6773,22.5249,23.3888,23.4028,23.6625,23.7406,22.9511,23.1056,23.5332,24.1663,23.5739,23.602,24.0865,23.8174,23.657,23.5099,24.2613,23.6635,23.0981,23.0791,23.6422,23.9273,23.8505
Cook Islands,COK,21.6605,22.5866,22.2699,21.3639,22.6368,22.2841,21.3556,21.7835,22.4094,22.1505,22.5667,22.3172,22.7024,22.1193,22.2038,22.1528,22.3612,22.198,21.9972,22.4831,22.2167,22.2033,21.988,22.336,22.0787
Costa Rica,CRI,24.048,23.4692,23.9465,23.675,23.6613,23.0436,23.4751,22.971,23.1181,23.4143,24.188,24.3479,23.9732,23.8649,23.4707,23.7481,23.7309,23.5758,24.3339,22.8569,23.4599,22.8913,24.183,24.0025,24.5549
Cote d'Ivoire,CIV,24.7513,24.5335,25.092,24.804,25.3669,24.9471,25.0802,25.0025,25.0959,24.7392,24.8691,25.0091,25.1105,24.9085,24.8452,25.3678,24.7896,24.2814,25.0282,25.085,25.0678,24.9173,24.8831,25.2039,25.3008
Croatia,HRV,-0.7737,1.4089,0.64477,2.63074,0.49439,-0.5032,0.51717,-0.9021,0.9263,-1.0735,-1.6232,0.39118,-1.4988,-0.5683,-1.0004,-1.0505,0.95302,2.53987,0.116,-0.5698,1.24134,-1.7164,1.78062,3.92363,2.64283
Cuba,CUB,23.1671,22.8325,22.6675,23.4465,22.7574,22.1461,22.8589,23.1271,22.6606,22.6273,21.4064,23.3371,21.5609,22.6269,21.5796,21.3823,23.09,22.6657,21.8017,20.9038,21.9118,22.1932,22.8158,22.9767,23.0412
Cyprus,CYP,9.87194,7.66985,8.92704,10.4253,11.1869,10.149,9.24103,10.9723,11.9564,9.40638,11.8987,9.78527,10.0367,10.6382,11.2598,10.0182,10.4097,8.73614,11.2396,12.5478,12.263,9.44953,11.308,12.9827,10.9254
Czech Republic,CZE,-4.2791,-1.0683,-2.4458,-1.0562,-2.8482,-4.8746,-4.6289,-1.7661,-1.1784,-2.0084,-3.3081,-2.7189,-3.5446,-3.6159,-3.1156,-5.585,-0.3894,0.68136,-3.5106,-5.0261,-1.3213,-4.4952,-1.8809,0.3994,0.46664
Denmark,DNK,-1.4191,2.3969,0.95728,-1.7642,-0.4169,-3.3852,-1.8898,0.63382,0.65045,2.45802,0.14959,-0.5109,-1.5999,-0.7743,-0.1776,-1.4985,2.01986,2.2697,0.40867,-4.3541,-0.1288,-0.6561,-0.4529,1.5345,1.77913
Djibouti,DJI,23.8801,21.8849,22.5043,23.2963,23.5219,23.8256,23.7801,23.8284,23.5552,23.2249,23.8236,23.1522,23.7361,24.4462,23.269,23.2623,23.2106,23.1289,23.3821,24.194,23.7381,24.1247,23.1098,23.6583,23.1248
Dominica,DMA,23.5785,24.0599,23.616,22.1065,23.2789,24.0719,23.9252,24.5887,23.0343,23.1879,23.329,23.6904,24.0808,23.9056,23.6642,23.5258,23.8055,23.1208,23.327,24.3782,23.3896,23.5835,23.9744,23.6835,23.8869
Dominican Republic,DOM,22.2213,22.1239,22.3845,22.0659,22.202,22.2031,21.9803,23.4429,21.9371,21.6678,21.7525,22.5887,22.9672,22.5756,20.6373,21.0053,21.9961,21.0363,21.7395,21.404,21.417,21.341,22.6446,23.036,22.8106
Ecuador,ECU,20.3161,20.18,21.0909,20.5364,21.2056,20.4555,21.1407,21.3217,20.0839,20.4377,19.6159,20.1917,20.3089,19.7133,20.2032,20.5935,19.4892,20.1293,21.0602,20.7415,20.7346,20.8326,20.6952,21.2559,21.7119
"Egypt, Arab Rep.",EGY,12.9087,11.8459,11.7236,12.993,13.2772,14.1336,13.086,13.7098,14.261,13.2671,14.1117,12.2083,13.8599,13.699,13.9136,13.9883,13.2251,12.6986,15.0834,16.3128,13.8738,12.2335,14.4408,14.081,12.8459
El Salvador,SLV,22.4207,22.9618,22.3007,22.7644,22.8378,21.8088,22.7877,22.6064,21.9467,22.2366,22.9999,23.3341,22.1809,23.317,23.2999,23.2535,22.4027,23.076,23.8982,22.6948,22.9741,22.9291,22.8907,23.2698,24.0361
Equatorial Guinea,GNQ,23.155,22.1502,22.9453,22.9121,23.7467,22.8078,22.5339,23.6487,22.57,23.0544,22.9338,23.7917,23.3288,23.3665,23.0598,23.7774,23.7811,23.4264,23.5561,23.7902,23.7719,23.7049,23.1462,23.4595,23.695
Eritrea,ERI,22.5607,20.1859,20.4776,22.7773,22.3616,22.4275,22.4681,22.541,23.1893,22.309,22.7669,21.8688,23.3615,23.1997,22.0576,22.4126,22.0438,22.6725,23.4929,24.2754,22.7363,23.2345,23.0084,22.1023,22.5377
Estonia,EST,-4.966,-1.4242,-4.6244,-13.168,-6.4474,-7.8545,-4.3049,-3.0868,-5.9438,-2.8545,-7.5857,-8.2384,-7.5384,-6.2317,-5.7715,-8.4164,-9.2046,-1.3511,-4.8308,-11.925,-9.8254,-9.2637,-6.0545,-7.3488,-1.7899
Ethiopia,ETH,20.963,20.4194,17.0995,20.5717,21.22,20.8533,20.9285,20.5018,20.775,20.9106,21.47,21.2681,21.128,21.6078,20.6441,21.2874,20.9403,20.9411,21.578,21.9947,19.9879,21.546,20.4996,21.3072,21.1581
Falkland Islands (Malvinas),FLK,0.62891,1.12447,2.80167,0.35882,-0.8792,2.78672,1.74584,2.54902,2.70167,1.82098,1.17592,0.64995,1.75615,3.26217,1.36666,2.22331,-0.4525,1.89703,1.7465,2.9655,1.14082,1.69366,1.80342,2.58066,1.74721
Faroe Islands,FRO,3.44352,2.93412,1.5758,1.49725,1.13358,1.69725,3.14964,3.13567,1.45973,2.73293,1.82276,2.01723,3.14928,2.89541,2.5689,2.38614,3.2966,2.77045,3.28679,1.1689,2.49697,3.16534,2.7132,3.70221,3.12092
Fiji,FJI,22.4376,22.3266,21.5399,21.8836,22.4754,22.1454,22.3413,22.4137,22.7097,22.37,22.3447,21.7652,21.9391,22.2873,22.1384,22.1689,22.4455,22.3285,22.2115,22.2481,22.2329,22.2387,22.2209,22.0791,22.1193
Finland,FIN,-12.204,-6.6328,-8.1337,-15.042,-12.589,-13.555,-9.9179,-13.33,-13.093,-8.2299,-12.286,-13.117,-16.411,-10.612,-8.8873,-12.738,-15.579,-5.6749,-10.143,-15.161,-15.656,-13.108,-10.523,-11.945,-9.5961
France,FRA,3.25842,2.86646,4.09075,5.20991,5.22688,4.49296,1.82744,5.2794,4.46752,3.68603,2.74889,6.63321,2.54922,4.30575,4.27848,5.31757,6.28384,6.73936,5.4113,4.38637,7.16701,4.15778,5.36257,7.22563,3.69968
French Guiana,GUF,25.2084,24.7479,24.3925,24.6485,24.9514,24.7036,24.5521,25.6784,24.9058,24.4308,24.8048,25.1312,25.4387,25.1356,25.3177,24.911,25.2199,24.6495,24.9735,25.5727,24.9016,24.3303,25.0125,24.8342,25.1532
French Polynesia,PYF,23.381,23.2953,23.657,23.1882,23.5276,23.006,22.819,23.0502,23.1339,23.1074,22.9375,23.2634,23.5356,22.7034,23.3196,23.177,23.4188,22.9709,23.8347,23.4686,23.1081,23.3722,22.637,23.4107,23.2564
Gabon,GAB,23.0278,22.1919,23.056,22.7724,23.7667,23.1647,22.5889,23.7125,23.0336,22.8852,23.1764,23.9021,23.4827,23.3377,23.0888,23.7534,23.5481,23.3345,23.3991,23.7329,23.6555,23.4991,23.1663,23.5197,23.6893
"Palestinian Territory, Occupied",PSE,11.2916,9.15894,9.94163,11.152,11.826,12.1521,10.4213,11.9833,12.986,11.0933,13.3323,11.126,12.0859,12.9692,12.9985,12.5447,12.1832,9.93669,13.086,14.5879,13.6734,11.4999,12.8742,13.2679,11.4946
Georgia,GEO,-6.1876,-7.9863,-7.6416,-8.1049,-4.9064,-7.102,-5.7618,-6.5923,-4.0833,-7.0391,-4.5467,-8.4572,-5.3964,-4.4073,-5.5406,-8.5551,-5.644,-10.469,-6.5872,-3.5781,-5.1754,-9.2497,-6.8459,-5.7917,-3.9757
Germany,DEU,-1.6809,0.96594,0.00333,0.36829,-1.3791,-2.4147,-2.4516,1.39982,0.97467,1.10166,0.03294,0.62591,-1.1177,-0.2687,-0.8422,-2.4452,2.01925,1.45098,-1.3156,-3.5006,1.35231,-1.8876,-0.237,2.03831,1.17579
Ghana,GHA,25.3209,24.9872,25.5698,25.4393,25.8726,25.4685,25.5387,25.681,25.6169,25.6386,25.5595,25.6689,25.9013,25.7582,25.5198,25.8743,25.8683,25.2659,25.873,26.1939,25.8774,25.5827,25.5034,25.883,26.1566
Gibraltar,GIB,10.055,10.4875,10.415,10.7424,11.335,10.83,11.335,11.285,10.75,10.295,11.365,12.2725,10.5725,11.225,9.9275,9.97,10.535,10.395,10.0475,11.4825,11.6375,9.8225,10.5125,11.215,10.305
Greece,GRC,3.04874,3.93548,3.45806,5.39027,4.92547,4.38055,5.88722,4.60666,5.3704,2.49038,3.17305,3.8427,2.29765,3.98252,4.25132,2.89252,4.55415,4.57818,5.46105,5.79666,5.1081,2.9636,5.50073,7.27144,5.52086
Greenland,GRL,-27.404,-29.962,-31.73,-30.35,-30.511,-26.494,-28.843,-28.965,-27.475,-28.476,-30.265,-29.718,-28.633,-27.979,-25.605,-26.793,-28.071,-28.72,-29.413,-27.703,-28.305,-28.743,-28.127,-27.654,-28.872
Grenada,GRD,25.2999,25.2,25.2,24.7999,25.2,25.4,25.9,26.5,25.5,25.7,25.2,25.9,25.7,24.7999,25.7999,24.5,25.0,24.6,24.9,24.9,25.2,25.5,26.1,25.2999,25.7
Guadeloupe,GLP,23.8623,24.3839,23.9097,23.4638,23.7312,24.0894,24.1117,25.0757,23.0989,23.5063,23.7759,23.7543,24.0928,23.7433,23.2691,23.7989,23.6724,22.8799,23.0718,24.2427,23.1718,23.4151,23.9063,23.5529,23.8279
Guam,GUM,26.9582,26.7999,26.7999,26.3164,26.3582,26.5164,26.3582,26.5164,26.5164,26.7582,26.8582,26.7582,26.7582,26.9164,26.7582,26.9582,26.7582,26.9164,26.8164,26.5582,26.6164,26.8747,27.0164,26.6164,26.7582
