Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,28.078008333333333,28.108816666666666,28.338725,28.43388333333333,28.62266666666666,28.4787,28.684216666666668,28.782341666666664,28.33684166666666,28.220333333333333,28.535983333333334,28.316691666666667,28.28035833333333,27.94685833333334,28.048025,28.177383333333335,28.30859166666666,27.944225000000003,28.309216666666668,28.41636666666666,28.173141666666666,28.509591666666665,28.607525000000006,28.455258333333333,28.616591666666665
Australia,AUS,22.172074999999996,21.585058333333333,21.803066666666666,21.729275,21.607808333333335,21.977449999999994,21.728008333333335,22.300841666666667,21.734491666666667,21.340283333333335,21.4042,22.096458333333334,22.092558333333333,21.927008333333333,22.535208333333333,21.88755833333333,22.120391666666663,21.792125,22.23705,21.573808333333332,21.363266666666664,21.635250000000003,22.676033333333333,22.453308333333336,22.30841666666667
Austria,AUT,6.151395000000001,7.438514166666668,6.737300833333332,7.9723250000000005,6.749838333333334,5.667845,6.8161491666666665,7.104209166666667,7.096235833333332,7.921313333333335,6.924059166666666,7.668540833333335,7.2810516666666665,6.678428333333333,6.354070000000001,7.096734166666667,7.831862499999999,7.611369166666665,7.373314166666667,6.370309166666668,7.707866666666668,7.553608333333333,7.2094975,8.283568333333333,8.216390833333334
Azerbaijan,AZE,11.158334166666668,10.324134166666667,10.125103333333334,10.831506666666668,12.086305000000001,11.504968333333332,11.355033333333331,12.282522499999999,12.179655833333333,12.016595833333332,12.654771666666667,11.831122500000001,11.405378333333331,11.930819166666668,11.92527,11.768006666666667,11.896299166666665,11.643638333333335,11.745628333333334,13.006781666666669,11.197879166666667,12.275162499999999,12.095188333333333,12.203389166666668,12.384300833333334
Bahrain,BHR,26.672791666666665,26.015016666666668,27.010175,27.598766666666666,27.110966666666666,27.602625000000003,27.018199999999997,28.246233333333333,28.575458333333334,27.876875000000002,27.920266666666667,27.74450833333334,27.811175000000002,27.707041666666665,27.453100000000003,27.872016666666664,27.942975,27.90115,28.283775000000002,28.921583333333334,28.020666666666667,28.258325,27.803849999999997,28.215033333333327,28.5074
Bangladesh,BGD,24.931258333333332,24.804474999999996,24.734166666666663,25.044441666666668,25.40425,25.300099999999997,24.836016666666666,25.519816666666667,25.67385,24.84125,25.551808333333337,25.414891666666666,25.325999999999993,25.444833333333335,25.559516666666667,25.914549999999995,25.406591666666667,25.40624166666667,26.122975,26.076449999999998,25.381824999999996,24.938800000000004,24.761558333333337,24.689783333333335,24.738566666666667
Barbados,BRB,26.554125,26.281725000000005,26.52911666666667,26.421166666666668,26.673683333333333,26.606916666666667,26.612241666666666,27.03725,26.49266666666667,26.315066666666667,26.559441666666668,26.823491666666666,26.895683333333334,26.879108333333335,27.279108333333337,27.043175,26.770683333333338,26.287250000000004,26.787341666666666,27.198583333333332,26.9264,26.553733333333337,26.623400000000004,26.487166666666667,26.990066666666667
Belarus,BLR,7.229396666666667,7.453065,6.389614166666668,7.060369166666667,7.260384999999999,5.9743466666666665,6.5739875,6.795951666666667,8.061429166666665,8.180743333333334,7.2956425000000005,7.9127075,6.886116666666666,7.181049999999999,7.158570000000001,7.219224166666666,8.187180833333334,8.285737500000002,7.40234,7.2213925,7.820810833333334,7.110383333333332,7.875794166666664,8.1340725,8.895034166666667
Belgium,BEL,9.659015833333333,10.362680833333334,9.814103333333334,10.848387500000001,10.6440075,8.8471625,10.435981666666668,10.306044166666668,10.897376666666666,10.941221666666666,10.419690833333336,10.920665000000001,10.8872825,10.420504166666666,10.684930833333334,10.9223925,11.6718775,10.572979166666666,10.6797025,9.28421,11.451003333333333,10.380416666666669,9.8437275,11.702111666666667,11.001640833333335
Belize,BLZ,25.761574999999997,25.487083333333334,25.55283333333333,25.597424999999998,25.84738333333334,25.374274999999997,26.10524166666666,26.063100000000002,24.99026666666667,25.30323333333334,25.668066666666665,25.825091666666665,25.858333333333334,25.765774999999994,25.891808333333334,25.689999999999998,25.885575,25.623991666666665,25.838291666666667,25.533075,25.841808333333333,25.733749999999997,25.81235,25.783333333333335,26.273733333333336
